; hash table
; format: hash name
; 
0xB216C246 SlotFileManager_UnloadSlot
0xF5C9D5A7 FGLadderMode_GetCachedSecretFightDataC
0x815ABB8E GetLadderMode
0xBA827B70 FGLadderMode_CacheSecretFightData
0x56D22214 FGGameInfo_SetFightingState
0x11D74C41 FGLadderMode_ResetSecretFightData
0xC5367FE1 FGLadderMode_RefreshPlayerLevelAndLoadout
0x592F336A FGLadderMode_WonLadderFight
0xDE148F14 GamelogicJump
0x1BB2B800 PLAYER_INFO_GetLadderEndingC
0x5B06C2B6 sleep
0x364A6DFE NRSString_GetCharPtrC
0x5239A468 MKS_HashString
0xE6192EF  LadderGetUserEntity
0x8B312D40 MK11ExperienceManager_ResetFinalizeFlag
0x775616EB FGUserEntity_GetUnlockTracker
0xDF2AF9F1 UnlockTracker_ClearUnlockMessages
0xFBD1E1BE UnlockTracker_IgnoreAddOnFinalizeAssert
0x185640BF LootDropList_StackCtor
0xFC3B08B7 LootTable_GetResult_LootDropListP_FGUserEntityP
0x59291560 LootDropList_NumC
0xCC83AC68 BILootDropSourceDataMatch_StackCtor
0x9C27D448 LootDropList_RewardItems_FGUserEntityP_BILootDropSourceData_constR
0x36FBFC01 MK11ExperienceManager_FinalizeExperience
0xF152C543 ShowGenericUnlockScreen_UIScreenUnlockStyle_MKStringType_MKStringType_FGUserEntityP_MK_BOOL_MK_BOOL
0x8493FA93 ShowGenericUnlockScreen_UIScreenUnlockStyle_MKStringType_MKStringType_FGUserEntityP_MK_BOOL_MK_BOOL
0xCAAA8DC1 FadeToBlack
0x291CDEE9 FGGameInfo_KillAllHUD
0xAA7360AA CurrentLadder_GetCurrentLadderFight
0x1360A21B SecretFightData_IsSetC
0xCA30FD87 SecretFightData_IsChallengeMet
0x9E37968  UIEndOfMatchScreen_GetScreenInstance
0xCEF1CD2  FGAudio_StopMusic
0x49BA402F FGGameInfo_MustGetActivePlayerInfoFromTeamC
; MK12
0x700CC6D2 MKCharacter_IsQuickUppercutRecoveryEnabled
0x1F23F5F0 MKCharacter_IsSupermoveAllowed
0x455735B7 MK12BrutalityBlood_Start
